Restaurant_Id,Name,rating,Cost for 2,Speciality,Location
1,Hotel Maa,4,200,"South Indian, Indian","Peelamedu, Gopalapuram"
2,Sree Annapoorna Sweets & Savouries,4.7,200,"Desserts, Fast Food","Mettupalayam Road, Tatabad"
3,Sree Annapoorna,4.3,250,"Indian, South Indian","Mettupalayam Road, Tatabad"
4,Red Door,4.2,300,"American, Italian","Bharathi Park, Saibaba Colony"
5,Biryani In Bucket,4,250,"Biryani, Indian","Gandhipuram, Gandhipuram"
6,Street Arabiya,4.1,,Arabian,"Sai Baba Colony, Saibaba Colony"
7,HMR - GRAND KITCHEN,4.1,300,"Biryani, South Indian","Gandhipuram, Ram Nagar"
8,Cock Ra Co,4.2,400,"Biryani, Arabian","Sivanadha Colony, Tatabad"
9,Cake Bee,4.3,250,"Bakery, Snacks","MSRK Towers, Bharathi Park Cross 2, Saibaba Colony"
10,(Raaju) Sri Rayappas,4.3,200,"Chettinad, South Indian","Gandhipuram, Ram Nagar"
11,La casa,--,300,"Fast Food, Pizzas","Gandhipuram, Gandhipuram"
12,Yummy Restaurant,4.2,,Indian,"Kavundampalyam, MTP Road, Koundampalayam"
13,SS HYDERABAD BIRYANI,4.3,600,"Biryani, South Indian","Gandhipuram, Gandhipuram"
14,Ck's Bakery Ram Nagar,4.3,,Bakery,"Gandhipuram, Ram Nagar"
15,Geetha Canteen,4.1,,South Indian,"Ram Nagar, Ram Nagar"
16,KFC,4.1,400,"American, Fast Food","Dr Krishnasamy Mudaliyar Rd, Puthiyavan Nagar, R S Puram West"
17,Hotel Maa,4,200,"South Indian, Indian","Peelamedu, Gopalapuram"
18,Sree Annapoorna Sweets & Savouries,4.7,200,"Desserts, Fast Food","Mettupalayam Road, Tatabad"
19,Sree Annapoorna,4.3,250,"Indian, South Indian","Mettupalayam Road, Tatabad"
20,Red Door,4.2,300,"American, Italian","Bharathi Park, Saibaba Colony"
21,Biryani In Bucket,4,250,"Biryani, Indian","Gandhipuram, Gandhipuram"
22,Street Arabiya,4.1,,Arabian,"Sai Baba Colony, Saibaba Colony"
23,HMR - GRAND KITCHEN,4.1,300,"Biryani, South Indian","Gandhipuram, Ram Nagar"
24,Cock Ra Co,4.2,400,"Biryani, Arabian","Sivanadha Colony, Tatabad"
25,Cake Bee,4.3,250,"Bakery, Snacks","MSRK Towers, Bharathi Park Cross 2, Saibaba Colony"
26,(Raaju) Sri Rayappas,4.3,200,"Chettinad, South Indian","Gandhipuram, Ram Nagar"
27,La casa,--,300,"Fast Food, Pizzas","Gandhipuram, Gandhipuram"
28,Yummy Restaurant,4.2,,Indian,"Kavundampalyam, MTP Road, Koundampalayam"
29,SS HYDERABAD BIRYANI,4.3,600,"Biryani, South Indian","Gandhipuram, Gandhipuram"
30,Ck's Bakery Ram Nagar,4.3,,Bakery,"Gandhipuram, Ram Nagar"
31,Geetha Canteen,4.1,,South Indian,"Ram Nagar, Ram Nagar"
32,KFC,4.1,400,"American, Fast Food","Dr Krishnasamy Mudaliyar Rd, Puthiyavan Nagar, R S Puram West"
33,Hotel Maa,4,200,"South Indian, Indian","Peelamedu, Gopalapuram"
34,Sree Annapoorna Sweets & Savouries,4.7,200,"Desserts, Fast Food","Mettupalayam Road, Tatabad"
35,Sree Annapoorna,4.3,250,"Indian, South Indian","Mettupalayam Road, Tatabad"
36,Red Door,4.2,300,"American, Italian","Bharathi Park, Saibaba Colony"
37,Biryani In Bucket,4,250,"Biryani, Indian","Gandhipuram, Gandhipuram"
38,Street Arabiya,4.1,,Arabian,"Sai Baba Colony, Saibaba Colony"
39,HMR - GRAND KITCHEN,4.1,300,"Biryani, South Indian","Gandhipuram, Ram Nagar"
40,Cock Ra Co,4.2,400,"Biryani, Arabian","Sivanadha Colony, Tatabad"
41,Cake Bee,4.3,250,"Bakery, Snacks","MSRK Towers, Bharathi Park Cross 2, Saibaba Colony"
42,(Raaju) Sri Rayappas,4.3,200,"Chettinad, South Indian","Gandhipuram, Ram Nagar"
43,La casa,--,300,"Fast Food, Pizzas","Gandhipuram, Gandhipuram"
44,Yummy Restaurant,4.2,,Indian,"Kavundampalyam, MTP Road, Koundampalayam"
45,SS HYDERABAD BIRYANI,4.3,600,"Biryani, South Indian","Gandhipuram, Gandhipuram"
46,Ck's Bakery Ram Nagar,4.3,,Bakery,"Gandhipuram, Ram Nagar"
