Restaurant_Id,Restuarant,Food Item,Price
1,Hotel Maa,(2) Pichu Potta Salna Parotta + Chilli Gobi + Kolambu Kalaki,115
1,Hotel Maa,Egg Kothu Parotta + Chilli Gobi + Pepper Onion Kalaki,135
1,Hotel Maa,Veg Fried Rice + Half Dry Pepper Chicken ,169
1,Hotel Maa,Half Garlic Chicken Dry + (2) Kal Dosai + Chicken Kuruma + Pepper Kalaki ,145
1,Hotel Maa,Ghee Parotta(3) + Half Butter Chicken Gravy ,179
1,Hotel Maa,Egg Fried Rice + Half Mushroom Manchuriann,145
1,Hotel Maa,Veg Fried Rice + Half Mushroom Manchurian ,135
1,Hotel Maa,Veechu Parotta (2) + Half Chettinad Chicken Gravy ,125
1,Hotel Maa,Dosa (2) + Half Pepper Chicken Gravy ,135
1,Hotel Maa,Egg Fried Rice + Half Butter Chicken Dry ,179
1,Hotel Maa,Parotta (2) + Half Pepper Chicken  Gravy,125
1,Hotel Maa,Parotta (4) + Full Chettinad Chicken Gravy + Omlet,210
1,Hotel Maa,Chapathi (3) + Half Chettinad Chicken Gravy ,145
1,Hotel Maa,Parotta (2) + Half Chettinad Chicken Gravy ,125
1,Hotel Maa,Kal Dosa (3) + Half Chettinad Chicken Gravy ,145
1,Hotel Maa,Kal Dosa (3) + Half Butter Chicken Gravy,145
1,Hotel Maa,Chapathi (3) + Half Butter Chicken Gravy ,145
1,Hotel Maa,Parotta(3) + Half Butter Chicken Gravy ,145
1,Hotel Maa,Parotta (3) +  Half Chettinad Chicken Gravy,145
1,Hotel Maa,Parotta (3) + Egg Podimass Gravy,125
1,Hotel Maa,Veg Fried Rice + HALF Gobi Manchurian,145
1,Hotel Maa,Chapati (3) + HALF Gobi Manchurian,145
1,Hotel Maa,Veg Fried Rice + Half  Gobi Manchuriann,145
1,Hotel Maa,Parotta (3) + Half Gobi Manchurian ,145
1,Hotel Maa,Veg Fried Rice + Chilli  Gobi,125
1,Hotel Maa,Egg Fried Rice + Chilli Gobi,135
