Restaurant_Name,Link
11 11 Vital Juicery,https://www.swiggy.com/restaurants/11-11-vital-juicery-peelamedu-coimbatore-399923
12hrs Kitchen,https://www.swiggy.com/restaurants/12hrs-kitchen-peelamedu-r-k-mills-c-colony-coimbatore-367154
3 Monkeys Cafe,https://www.swiggy.com/restaurants/3-monkeys-cafe-sai-baba-colony-saibaba-colony-coimbatore-61495
4S TRADERS - SHIFA FOOD PARADISE,https://www.swiggy.com/restaurants/4s-traders-shifa-food-paradise-gandhipuram-tatabad-coimbatore-374340
5rs Tiffen house,https://www.swiggy.com/restaurants/5rs-tiffen-house-hopes-coimbatore-443629
5 Shots Bistro cafe,https://www.swiggy.com/restaurants/5-shots-bistro-cafe-peelamedu-coimbatore-448209
7th Heaven Cake Shop,https://www.swiggy.com/restaurants/7th-heaven-cake-shop-peelamedu-chitra-nagar-coimbatore-52492
7TH HEAVEN,https://www.swiggy.com/restaurants/7th-heaven-saravanampatti-coimbatore-259830
A1 Chips & Snacks,https://www.swiggy.com/restaurants/a1-chips-and-snacks-near-kgisl-college-saravanampatti-coimbatore-69595
A1 Hyderabad Biriyani Hotel,https://www.swiggy.com/restaurants/a1-hyderabad-biriyani-hotel-gandimanagar-maniakaram-palayam-coimbatore-117704
A1 pattikadu,https://www.swiggy.com/restaurants/a1-pattikadu-ramanathapuram-coimbatore-417190
A2B Veg,https://www.swiggy.com/restaurants/a2b-veg-gandhipuram-balasundaram-layout-coimbatore-51014
A2B Veg,https://www.swiggy.com/restaurants/a2b-veg-sbi-road-gopalapuram-coimbatore-51052
Aachi Food,https://www.swiggy.com/restaurants/aachi-food-gandipark-r-s-puram-west-coimbatore-59214
Aachi Mess ,https://www.swiggy.com/restaurants/aachi-mess-race-course-coimbatore-415756
Aagna Veg,https://www.swiggy.com/restaurants/aagna-veg-peelamedu-coimbatore-418920
AARUTHRA PASIYARU UNAVAGAM,https://www.swiggy.com/restaurants/aaruthra-pasiyaru-unavagam-r-s-puram-coimbatore-379258
Aasife Biriyani,https://www.swiggy.com/restaurants/aasife-biriyani-opp-to-prozone-mall-saravanampatti-coimbatore-84887
Aasife Biriyani,https://www.swiggy.com/restaurants/aasife-biriyani-peelamedu-goldwins-coimbatore-335011
A Bee Briyani Centre,https://www.swiggy.com/restaurants/a-bee-briyani-centre-hopes-coimbatore-417935
Abi Fast Food,https://www.swiggy.com/restaurants/abi-fast-food-ramanathapuram-coimbatore-409895
Abis Kitchen,https://www.swiggy.com/restaurants/abis-kitchen-gandhipuram-coimbatore-423800
Abis modern kitchen,https://www.swiggy.com/restaurants/abis-modern-kitchen-hopes-coimbatore-436789
AB s-Absolute Barbecues,https://www.swiggy.com/restaurants/ab-s-absolute-barbecues-peelamedu-coimbatore-385378
Absolute Biryani,https://www.swiggy.com/restaurants/absolute-biryani-ramanathapuram-coimbatore-422716
Abu Bhai Biriyani,https://www.swiggy.com/restaurants/abu-bhai-biriyani-coi-ganapathy-coimbatore-407338
Abu Bhai Biriyani,https://www.swiggy.com/restaurants/abu-bhai-biriyani-gandhipuram-coimbatore-407130
Abu Bhai Biriyani,https://www.swiggy.com/restaurants/abu-bhai-biriyani-hopes-coimbatore-407169
Abu Bhai Biriyani,https://www.swiggy.com/restaurants/abu-bhai-biriyani-r-s-puram-coimbatore-407108
ACSHAYAA HOMELY VARIETY MEALS,https://www.swiggy.com/restaurants/acshayaa-homely-variety-meals-r-s-puram-town-hall-coimbatore-288890
Addipoli Puttu's,https://www.swiggy.com/restaurants/addipoli-puttus-peelamedu-coimbatore-438263
ADIs BBQ,https://www.swiggy.com/restaurants/adis-bbq-peelamedu-coimbatore-386970
Aditi Restaurant,https://www.swiggy.com/restaurants/aditi-restaurant-ramanathapuram-vasanth-nagar-coimbatore-237926
AFC - Arabian Fried Chicken,https://www.swiggy.com/restaurants/afc-arabian-fried-chicken-race-course-gopalapuram-coimbatore-67404
AFC Restaurant,https://www.swiggy.com/restaurants/afc-restaurant-saravanampatti-coimbatore-320609
Agarwal Sweet Palace,https://www.swiggy.com/restaurants/agarwal-sweet-palace-hopes-sri-nagar-coimbatore-56196
Agarwal Sweet Palace,https://www.swiggy.com/restaurants/agarwal-sweet-palace-rs-puram-r-s-puram-west-coimbatore-51364
Agarwal - The Sweet Shop (Neeraj Agarwal),https://www.swiggy.com/restaurants/agarwal-the-sweet-shop-neeraj-agarwal-rs-puram-coimbatore-coimbatore-56656
AHM MULTI CUISINE RESTAURANT,https://www.swiggy.com/restaurants/ahm-multi-cuisine-restaurant-hopes-coimbatore-336465
Aishwini catering Services,https://www.swiggy.com/restaurants/aishwini-catering-services-peelamedu-coimbatore-409580
AJ Biriyani centre,https://www.swiggy.com/restaurants/aj-biriyani-centre-sai-baba-colony-coimbatore-443917
Ajesh Mess,https://www.swiggy.com/restaurants/ajesh-mess-saravanampatti-coimbatore-56373
Ajmeer Biriyani Centre,https://www.swiggy.com/restaurants/ajmeer-biriyani-centre-edayarpalayam-tvs-nagar-coimbatore-309603
AJMEER BIRIYANI,https://www.swiggy.com/restaurants/ajmeer-biriyani-r-s-puram-ukkadam-coimbatore-290109
AJWA THE FAMILY FAST FOOD,https://www.swiggy.com/restaurants/ajwa-the-family-fast-food-sathy-road-gandhipuram-coimbatore-50348
Akka Kuskha,https://www.swiggy.com/restaurants/akka-kuskha-race-course-puliakulam-coimbatore-357693
Akshara Tiffin centre,https://www.swiggy.com/restaurants/akshara-tiffin-centre-r-s-puram-selvapuram-north-coimbatore-281601
Akshaya Bhavan,https://www.swiggy.com/restaurants/akshaya-bhavan-saravanampatti-coimbatore-57143
Akshaya Park Restaurant,https://www.swiggy.com/restaurants/akshaya-park-restaurant-panchayath-neelambur-coimbatore-182127
ALAM BBQ & Kebabs,https://www.swiggy.com/restaurants/alam-bbq-and-kebabs-coi-ganapathy-ganapathypudur-coimbatore-96868
Alam BBQ & Kebabs,https://www.swiggy.com/restaurants/alam-bbq-and-kebabs-hopes-b-r-puram-industrial-estate-coimbatore-96867
Alam BBQ & Kebabs,https://www.swiggy.com/restaurants/alam-bbq-and-kebabs-r-s-puram-r-s-puram-west-coimbatore-96866
Alam Biriyani,https://www.swiggy.com/restaurants/alam-biriyani-coi-ganapathy-saravanampatti-coimbatore-150751
Alam Grilled Wrap,https://www.swiggy.com/restaurants/alam-grilled-wrap-r-s-puram-r-s-puram-west-coimbatore-86031
